temp,RH,DMC,X,DC,area
8.2,51,26.2,7,94.3,0
18,33,35.4,7,669.1,0
14.6,33,43.7,7,686.9,0
8.3,97,33.3,8,77.5,0
11.4,99,51.3,8,102.2,0
22.2,29,85.3,8,488,0
24.1,27,88.9,8,495.6,0
8,86,145.4,8,608.2,0
13.1,63,129.5,8,692.6,0
22.8,40,88,7,698.6,0
17.8,51,88,7,698.6,0
19.3,38,73.2,7,713,0
17,72,70.8,6,665.3,0
21.3,42,126.5,6,686.5,0
26.4,21,133.3,6,699.6,0
22.9,44,141.2,6,713.9,0
15.1,27,35.8,5,80.8,0
16.7,47,32.8,8,664.2,0
15.9,35,27.9,6,70.8,0
9.3,44,27.4,6,97.1,0
18.3,40,129.5,6,692.6,0
19.1,38,78.5,5,724.3,0
21,44,96.3,7,200,0
19.5,43,110.9,7,537.4,0
23.7,32,139.4,7,594.2,0
16.3,60,142.4,7,601.4,0
19,34,117.9,7,668,0
19.4,48,126.5,7,686.5,0
30.2,24,145.4,6,721.4,0
22.8,39,149.3,6,728.6,0
25.4,24,85.1,6,692.3,0
11.2,78,91.8,6,709.9,0
20.6,37,69.7,6,706.8,0
17.7,39,75.6,6,718.3,0
21.2,32,78.5,6,724.3,0
18.2,62,80.7,6,730.2,0
21.7,24,35.4,6,669.1,0
11.3,60,41.5,7,682.6,0
17.8,27,43.7,7,686.9,0
14.1,43,25.7,4,67.6,0
23.3,37,60.6,4,366.7,0
18.4,42,96.9,4,624.2,0
16.6,54,108.3,4,647.1,0
19.6,48,88,4,698.6,0
12.9,74,82.9,4,735.7,0
25.9,24,85.1,5,692.3,0
14.7,70,126.5,5,686.5,0
23,36,62.3,6,442.9,0
11.8,35,23.9,4,64.7,0
11,46,52.2,4,103.8,0
20.8,17,137,4,706.4,0
21.5,34,99.6,4,631.2,0
20.4,42,111.2,4,654.1,0
20.4,42,111.2,4,654.1,0
17.6,45,114.3,4,661.3,0
27.7,24,137,4,706.4,0
17.8,63,80.7,4,730.2,0
13.8,50,46.5,4,691.8,0
13.9,40,9.3,2,34,0
12.3,51,13.2,2,43,0
11.5,39,51.3,2,102.2,0
5.5,59,51.3,2,102.2,0
18.8,35,75.3,2,466.6,0
20.8,33,99.6,2,631.2,0
23.1,31,103.2,2,638.8,0
18.6,44,114.3,2,661.3,0
23,37,117.9,2,668,0
19.6,33,117.9,2,668,0
19.6,33,117.9,2,668,0
17.2,26,33.3,4,77.5,0
15.8,27,48.3,4,97.8,0
17.7,37,85.1,4,692.3,0
15.6,25,33.3,5,77.5,0
17.3,43,147.3,5,614.5,0
27.6,30,141.2,5,713.9,0
6.7,79,6.8,9,26.6,0
15.7,43,13.2,9,43,0
8.3,72,52.2,1,103.8,0
14.7,66,108,1,529.8,0
21.6,19,121.2,1,561.6,0
19.5,39,142.4,1,601.4,0
17.9,44,99.6,1,631.2,0
18.6,51,108.3,1,647.1,0
16.6,47,111.2,1,654.1,0
20.2,45,114.3,1,661.3,0
21.5,15,137,1,706.4,0
25.4,27,137,1,706.4,0
22.4,34,137,1,706.4,0
25.3,36,149.3,1,728.6,0
17.4,25,35.8,6,80.8,0
14.7,59,96.9,6,624.2,0
17.4,24,35.8,8,80.8,0
20.8,32,85.3,8,488,0
18.2,43,142.4,8,601.4,0
23.4,22,103.2,8,638.8,0
17.8,64,90,4,704.4,0
12.7,48,8,3,30.2,0
17.4,24,2.4,3,15.5,0
11.6,87,142.4,3,601.4,0
19.8,39,142.4,3,601.4,0
19.8,39,142.4,3,601.4,0
14.4,66,147.3,3,614.5,0
20.1,40,108.3,2,647.1,0
24.1,29,121.1,2,674.4,0
5.3,78,3.7,2,9.3,0
12.7,52,19.5,4,57.3,0
18.2,29,30.7,4,74.3,0
21.4,33,99.6,4,631.2,0
20.3,45,88,4,698.6,0
17.4,56,91.8,4,709.9,0
13.7,43,19.5,4,57.3,0
18.8,18,33.3,3,77.5,0
22.8,39,90,3,704.4,0
18.9,35,78.5,3,724.3,0
15.8,27,25.7,3,67.6,0
15.5,27,25.7,3,67.6,0
11.6,30,35.8,3,80.8,0
15.2,27,35.8,3,80.8,0
10.6,30,39.7,3,86.6,0
19.6,36,75.3,3,466.6,0
10.3,74,145.4,3,608.2,0
17.1,43,145.4,3,608.2,0
22.5,42,124.1,3,680.7,0
17.9,45,73.4,3,671.9,0
19.8,50,85.1,3,692.3,0
20.6,24,46.5,3,691.8,0
9,49,52.2,3,103.8,0
17.2,43,149.3,3,728.6,0
15.9,46,37.9,3,673.8,0
15.4,35,46.5,2,691.8,0
15.4,40,21.5,4,87.2,0
14,39,23.9,4,64.7,0
10.6,46,51.3,4,102.2,0
17.6,42,80.9,4,685.2,0
14.9,38,25.7,3,67.6,0
17.6,52,139.4,3,594.2,0
17.2,58,124.1,3,680.7,0
15.6,66,126.5,3,686.5,0
18,42,48.3,9,313.4,0.36
21.7,38,129.5,1,692.6,0.43
21.9,39,126.5,2,686.5,0.47
23.3,31,99.9,1,513.3,0.55
21.2,51,108,8,529.8,0.61
16.6,53,51.3,1,296.3,0.71
23.8,32,99.9,2,513.3,0.77
27.4,22,131.7,6,578.8,0.9
13.2,40,39.7,5,86.6,0.95
24.2,28,73.4,8,671.9,0.96
17.4,43,108.3,2,647.1,1.07
23.7,25,80.9,8,685.2,1.12
23.2,39,56.4,6,433.3,1.19
24.8,29,68.6,9,355.2,1.36
24.6,43,51.2,3,424.1,1.43
20.1,47,85.1,5,692.3,1.46
29.6,27,145.4,1,721.4,1.46
16.4,47,108.3,7,647.1,1.56
28.6,27,145.4,2,721.4,1.61
18.4,45,111.2,2,654.1,1.63
20.5,35,111.2,2,654.1,1.64
19,34,117.9,7,668,1.69
16.1,29,39.7,7,86.6,1.75
20.3,41,131.7,6,578.8,1.9
15.2,31,50.1,6,100.4,1.94
17.8,56,121.1,8,674.4,1.95
17.8,67,90,8,704.4,2.01
5.3,70,18.2,6,55,2.14
16.6,47,111.2,6,654.1,2.29
23.4,33,127.1,6,570.5,2.51
14.6,26,48.3,6,97.8,2.53
20.7,45,131.7,8,578.8,2.55
21.9,35,133.3,5,699.6,2.57
17.4,50,90.4,8,609.6,2.69
20.1,39,142.4,7,601.4,2.74
17.7,39,126.5,4,686.5,3.07
14.2,53,96.9,1,624.2,3.5
20.3,39,96.9,1,624.2,4.53
5.8,54,9.1,6,55.2,4.61
19.2,44,99.6,2,631.2,4.69
18.3,45,82.9,2,735.7,4.88
14.4,66,147.3,8,614.5,5.23
23.9,32,124.1,1,680.7,5.33
19.1,32,32.8,8,664.2,5.44
12.4,53,15.6,5,48.3,6.38
16.8,45,48.5,7,696.1,6.83
20.8,34,135.7,8,586.7,6.96
17.6,46,129.5,2,692.6,7.04
11.5,39,51.3,8,102.2,7.19
21,42,126.5,1,686.5,7.3
13.3,42,41.9,6,89.4,7.4
11.5,60,44,7,92.4,8.24
11.7,33,48.3,6,97.8,8.31
24.2,28,131.7,2,578.8,8.68
24.6,22,108.3,2,647.1,8.71
24.3,25,133.3,4,699.6,9.41
24.6,22,108.3,2,647.1,10.01
23.5,36,135.7,2,586.7,10.02
5.8,54,9.1,6,55.2,10.93
21.5,15,137,4,706.4,11.06
13.9,59,129.5,3,692.6,11.24
22.6,38,70.8,2,665.3,11.32
21.6,33,129.5,1,692.6,11.53
12.4,54,37.6,6,83.7,12.1
8.8,68,8.7,7,32.1,13.05
20.2,37,37.9,8,673.8,13.7
15.1,64,50.1,5,100.4,13.99
22.1,34,137,4,706.4,14.57
22.9,31,139.4,2,594.2,15.45
20.7,37,129.5,7,692.6,17.2
19.6,33,117.9,6,668,19.23
23.2,26,80.9,8,685.2,23.41
18.4,25,43.7,4,686.9,24.23
5.1,96,139.4,7,594.2,26
20.1,47,85.1,7,692.3,26.13
11,46,52.2,7,103.8,27.35
17,27,35.8,4,80.8,28.66
17,27,35.8,4,80.8,28.66
16.9,60,124.1,4,680.7,29.48
12.4,73,91.8,1,709.9,30.32
19.4,19,133.3,4,699.6,31.72
15.2,27,39.7,6,86.6,31.86
16.2,59,99.6,8,631.2,32.07
18.6,49,141.2,3,713.9,35.88
11,46,52.2,4,103.8,36.85
13.4,79,150.3,2,309.9,37.02
15.4,57,82.9,7,735.7,37.71
22.9,39,149.3,4,728.6,48.55
16.1,44,48.5,7,696.1,49.37
20.1,34,81.8,8,480.8,58.3
28.3,26,149.3,4,728.6,64.1
16.4,43,81.8,8,480.8,71.3
26.4,21,133.3,4,699.6,88.49
27.8,27,149.3,1,728.6,95.18
18.7,43,129.5,6,692.6,103.39
24.3,36,73.4,9,671.9,105.66
17.7,25,121.1,4,674.4,154.88
19.6,41,142.4,8,601.4,196.48
18.2,46,121.1,2,674.4,200.94
18.8,40,129.5,1,692.6,212.88
25.1,27,121.1,6,674.4,1090.84
13.4,75,3,7,7.9,0
15.2,51,17.2,6,43.5,0
16.7,20,23.3,4,85.3,0
15.4,66,122.3,2,589.9,10.13
21.9,73,175.1,7,700.7,0
22.4,54,175.1,2,700.7,2.87
26.8,38,175.1,3,700.7,0.76
25.7,39,175.1,5,700.7,0.09
20.7,70,91.6,2,503.6,0.75
28.7,28,157.3,8,666.7,0
21.7,40,157.3,3,666.7,2.47
26.8,25,157.3,8,666.7,0.68
24,36,157.3,8,666.7,0.24
22.1,37,157.3,6,666.7,0.21
21.4,38,109.2,7,565.5,1.52
18.9,41,138.1,6,621.7,10.34
22.3,46,77,2,694.8,0
23.9,41,117.2,8,581.1,8.02
21.4,44,117.2,4,581.1,0.68
20.6,59,170.9,3,692.3,0
23.7,40,170.9,7,692.3,1.38
28.3,32,97.9,2,542,8.85
11.2,84,112.4,3,573,3.3
21.4,42,112.4,2,573,4.25
19.3,39,141.1,6,629.1,1.56
21.8,53,167.6,4,684.4,6.54
22.1,54,102.2,4,550.3,0.79
19.4,55,131.7,6,607.1,0.17
23.7,24,152.6,2,658.2,0
21,32,152.6,3,658.2,0
19.1,53,152.6,4,658.2,4.4
21.8,56,152.6,2,658.2,0.52
20.1,58,152.6,8,658.2,9.27
20.2,47,152.6,2,658.2,3.09
4.8,57,27.2,4,353.5,8.98
5.1,61,27.8,8,354.6,11.19
5.1,61,26.4,4,352,5.38
4.6,21,25.4,4,349.7,17.85
4.6,21,25.4,3,349.7,10.73
4.6,21,25.4,4,349.7,22.03
4.6,21,25.4,4,349.7,9.77
2.2,59,26.7,4,352.6,9.27
5.1,24,25.4,6,349.7,24.77
4.2,51,27.5,6,353.5,0
8.8,35,6.6,3,18.7,1.1
7.5,46,4.9,5,15.8,24.24
23.4,40,169.7,2,411.8,0
12.6,90,183.1,7,437.7,0
22.1,49,104.2,7,474.9,0
24.2,32,104.2,7,474.9,0
24.3,30,104.2,7,474.9,0
18.7,53,104.2,2,474.9,0
25.3,39,104.2,9,474.9,8
22.9,40,100.2,4,466.3,2.64
26.9,28,180.4,7,430.8,86.45
17.1,67,88.8,8,440.9,6.57
22.2,48,180.4,7,430.8,0
14.3,46,89.5,6,290.8,0.9
15.4,45,89.5,8,290.8,0
19.6,43,147.8,8,377.2,0
10.6,90,71,6,233.8,0
20.7,25,93.3,6,298.1,0
19.1,39,93.3,6,298.1,3.52
19.2,38,94.1,3,232.1,0
19.2,38,94.1,3,232.1,0
11.3,94,28,6,113.8,0
19,52,84.1,1,714.3,0
17.1,53,84.1,7,714.3,0.41
23.8,35,84.1,3,714.3,5.18
16,45,105.8,2,758.1,0
24.9,27,105.8,2,758.1,0
25.3,27,105.8,7,758.1,0
24.8,28,105.8,6,758.1,14.29
12.2,78,46.2,2,706.6,0
24.3,27,115.4,6,777.1,0
19.7,41,115.4,4,777.1,1.58
18.5,30,134.7,3,817.5,0
18.6,24,96.2,4,739.4,0
19.2,24,96.2,4,739.4,3.78
21.6,27,119,6,783.5,0
21.6,28,119,5,783.5,4.41
18.9,34,119,6,783.5,34.36
16.8,28,119,1,783.5,7.21
16.8,28,119,6,783.5,1.01
12.9,39,136.9,3,822.8,2.18
13.7,56,53.3,6,726.9,4.42
24.2,27,102.3,1,751.5,0
24.1,27,102.3,5,751.5,0
21.2,32,102.3,6,751.5,0
19.7,35,102.3,6,751.5,0
23.5,27,102.3,4,751.5,3.33
24.2,27,102.3,3,751.5,6.58
21.5,28,124.4,7,795.3,15.64
17.1,41,124.4,4,795.3,11.22
18.1,54,87.7,1,721.1,2.13
18,51,108.4,2,764,0
9.8,86,108.4,4,764,0
19.3,44,108.4,7,764,0
23,34,108.4,6,764,56.04
22.7,35,108.4,8,764,7.48
20.4,41,108.4,2,764,1.47
19.3,44,108.4,2,764,3.93
15.7,51,111.7,8,770.3,0
20.6,37,130.1,6,807.1,0
15.9,51,130.1,8,807.1,2.18
12.2,66,130.1,6,807.1,6.1
16.8,43,130.1,2,807.1,5.83
21.3,35,130.1,1,807.1,28.19
10.1,75,99,5,745.3,0
17.4,57,99,3,745.3,0
12.8,64,99,5,745.3,1.64
10.1,75,99,5,745.3,3.71
15.4,53,99,4,745.3,7.31
20.6,43,99,7,745.3,2.03
19.8,47,99,7,745.3,1.72
18.7,50,99,7,745.3,5.97
20.8,35,99,4,745.3,13.06
20.8,35,99,4,745.3,1.26
15.9,55,122,6,789.7,0
19.7,39,122,6,789.7,0
21.1,39,122,1,789.7,8.12
18.4,42,122,6,789.7,1.09
17.3,45,122,4,789.7,3.94
15.2,64,55.2,7,732.3,0.52
15.9,53,111.7,4,770.3,2.93
21.1,35,111.7,6,770.3,5.65
19.6,45,111.7,6,770.3,20.03
15.9,38,132.3,4,812.1,1.75
16.4,27,132.3,4,812.1,0
16.8,47,94.3,6,744.4,12.64
13.8,77,276.3,4,825.1,0
13.8,77,276.3,7,825.1,11.06
14.2,58,133.6,3,520.5,0
10.4,75,203.2,4,664.5,0
20.3,42,222.4,5,698.6,0
10.3,78,290,6,855.3,18.3
15.4,57,94.3,6,744.4,39.35
21.1,54,207,8,672.6,0
21.9,42,231.1,2,715.1,174.63
8.7,51,18.9,6,30.6,0
5.2,100,1.1,4,171.4,0
19.3,39,101.3,5,458.8,7.73
16.2,63,194.1,8,643,16.33
28.2,29,217.7,8,690,5.86
20.5,58,248.4,9,753.8,42.87
21.3,44,273.8,8,819.1,12.18
20.9,50,181.3,2,613,16
20.6,55,96.7,3,750.5,24.59
11.6,48,18.9,5,30.6,0
23.3,34,227,6,706.7,28.74
23.3,34,227,7,706.7,0
7.5,71,9.5,7,58.3,9.96
20.7,46,91.3,8,738.1,30.18
21.9,43,276.3,1,825.1,70.76
15.2,19,15,2,25.6,0
5.3,68,4.6,6,46.7,0
10.1,62,9,4,56.9,51.78
20.4,55,96.7,4,750.5,3.64
24.3,33,181.3,5,613,3.63
25.9,32,231.1,1,715.1,0
28,34,49.5,9,297.7,0
28,34,49.5,9,297.7,8.16
22.8,46,88.2,3,731.7,4.95
25,36,227,9,706.7,0
21.3,41,194.1,8,643,0
21.8,34,84.8,2,725.1,6.04
27.9,27,212.1,2,680.9,0
17,67,291.3,6,860.6,3.95
14.2,46,8.2,4,55,0
19.9,44,290,4,855.3,7.8
23.4,31,96.2,1,450.2,0
14.7,42,7.3,6,52.8,0
8.2,53,3.2,7,43.6,4.62
22.8,27,92.1,9,442.1,1.63
26.4,33,231.1,7,715.1,0
24.1,50,235.1,5,723.1,0
27.5,27,222.4,8,698.6,746.28
26.3,39,164.1,6,575.8,7.02
13.8,24,17.3,6,28.3,0
24.9,42,203.2,2,664.5,2.44
24.8,36,181.3,2,613,3.05
26.2,36,191.4,8,635.9,185.76
30.8,19,217.7,2,690,0
29.3,27,263.1,8,795.9,6.3
22.3,48,94.3,1,744.4,0.72
26.9,31,231.1,8,715.1,4.96
20.4,56,248.4,2,753.8,0
20.4,56,248.4,8,753.8,0
27.9,33,207,2,672.6,2.35
26.2,34,222.4,1,698.6,0
24.6,44,181.3,3,613,3.2
19.4,45,287.2,7,849.3,0
23.3,40,178,1,605.3,6.36
23.9,38,222.4,8,698.6,0
20.9,66,235.1,2,723.1,15.34
22.2,45,269.8,1,811.2,0
23.8,51,84.7,2,376.6,0
26.8,35,207,8,672.6,0.54
14.2,73,253.6,8,768.4,0
23.6,53,231.1,2,715.1,6.43
19.1,46,91.3,1,738.1,0.33
16.2,58,290,5,855.3,0
25.5,29,207,8,672.6,1.23
10.9,64,24.9,6,41.6,3.35
14.8,78,80.9,1,368.3,0
16.2,58,290,2,855.3,9.96
17.3,80,47.9,5,100.7,0
19.1,70,203.2,6,664.5,0
8.9,35,17.3,3,28.3,0
10.5,77,284.9,7,844,0
19.3,61,181.3,7,613,0
23.4,49,217.7,4,690,6.43
11.8,88,196.8,1,649.9,9.71
17.7,65,238.2,7,730.6,0
17.4,54,266.2,4,803.3,0
16.8,56,248.4,3,753.8,0
17.9,48,160,3,567.2,0
16.6,59,248.4,2,753.8,0
19.9,50,191.4,1,635.9,82.75
18.9,64,231.1,8,715.1,3.32
15.5,72,273.8,7,819.1,1.94
18.9,64,231.1,2,715.1,0
18.9,64,231.1,8,715.1,0
14.5,76,276.3,1,825.1,3.71
4.6,82,4.4,6,16.2,5.39
5.1,77,4.4,6,16.2,2.14
4.6,59,3.6,2,15.3,6.84
10.2,45,15.1,6,36.9,3.18
11.2,41,18.5,3,41.1,5.55
13.3,27,20.6,6,43.5,6.61
13.7,33,14.6,6,25.6,61.13
17.6,27,14.6,5,25.6,0
18,40,25.4,4,73.7,38.48
14.3,79,96.2,8,229,1.94
24.5,50,61.1,9,252.6,70.32
26.4,35,103.8,4,316.7,10.08
22.7,40,121.7,2,350.2,3.19
27.2,28,85.3,4,395,1.76
26.1,45,101.3,4,423.4,7.36
18.2,82,101.3,7,423.4,2.21
22.6,57,103.9,7,431.6,278.53
30.2,25,114.4,9,560,2.75
30.2,22,114.4,4,560,0
23.4,40,130.3,3,587.1,1.29
31,27,130.3,8,587.1,0
33.1,25,130.3,2,587.1,26.43
30.6,28,135.5,2,596.3,2.07
24.1,43,141.3,5,605.8,2
26.4,34,141.3,5,605.8,16.4
19.4,71,141.3,4,605.8,46.7
20.6,58,141.3,4,605.8,0
28.7,33,141.3,4,605.8,0
32.4,21,152,4,624.1,0
32.4,27,158,1,633.6,0
27.5,29,158,1,633.6,43.32
30.8,30,164,6,643,8.59
23.9,42,175.5,6,661.8,0
32.6,26,175.5,4,661.8,2.77
32.3,27,181.1,3,671.2,14.68
33.3,26,181.1,6,671.2,40.54
27.3,63,181.1,7,671.2,10.82
21.6,65,181.1,8,671.2,0
21.6,65,181.1,7,671.2,0
20.7,69,181.1,4,671.2,0
29.2,30,139.4,2,689.1,1.95
28.9,29,139.4,4,689.1,49.59
26.7,35,163.2,1,744.4,5.8
18.5,73,166.9,1,752.6,0
25.9,41,166.9,2,752.6,0
25.9,41,166.9,1,752.6,0
21.1,71,166.9,5,752.6,2.17
18.2,62,166.9,6,752.6,0.43
27.8,35,56.7,8,665.6,0
27.8,32,56.7,4,665.6,6.44
21.9,71,56.7,2,665.6,54.29
21.2,70,56.7,7,665.6,11.16
25.6,42,146,1,614.7,0
11.8,31,3,6,106.7,0
